"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,0.0120935076191853,26,1090,15,0.0137614678899083,0.576923076923077,"KEGG:00920","KEGG","Sulfur metabolism",3869,142
"query_1",TRUE,0.0167422185371913,50,1090,24,0.0220183486238532,0.48,"KEGG:00260","KEGG","Glycine, serine and threonine metabolism",3869,29
"query_1",TRUE,0.0169425918027649,22,1090,13,0.0119266055045872,0.590909090909091,"KEGG:01040","KEGG","Biosynthesis of unsaturated fatty acids",3869,167
"query_1",TRUE,0.0184243626978829,48,1090,23,0.0211009174311927,0.479166666666667,"KEGG:00999","KEGG","Biosynthesis of various plant secondary metabolites",3869,165
"query_1",TRUE,0.0184243626978829,7,1090,6,0.0055045871559633,0.857142857142857,"KEGG:00902","KEGG","Monoterpenoid biosynthesis",3869,133
"query_1",TRUE,0.0254006751975612,41,1090,20,0.018348623853211,0.48780487804878,"KEGG:00250","KEGG","Alanine, aspartate and glutamate metabolism",3869,26
"query_1",TRUE,0.0272551700718241,36,1090,18,0.0165137614678899,0.5,"KEGG:00860","KEGG","Porphyrin metabolism",3869,130
"query_1",TRUE,0.0333489764704156,34,1090,17,0.0155963302752294,0.5,"KEGG:00130","KEGG","Ubiquinone and other terpenoid-quinone biosynthesis",3869,17
"query_1",TRUE,0.0366063534768215,195,1090,71,0.0651376146788991,0.364102564102564,"KEGG:01240","KEGG","Biosynthesis of cofactors",3869,193
"query_1",TRUE,0.0390275916193275,40,1090,19,0.0174311926605505,0.475,"KEGG:00330","KEGG","Arginine and proline metabolism",3869,37
"query_1",TRUE,0.043166424224585,35,1090,17,0.0155963302752294,0.485714285714286,"KEGG:00280","KEGG","Valine, leucine and isoleucine degradation",3869,32
"query_1",TRUE,0.0462370515561189,38,1090,18,0.0165137614678899,0.473684210526316,"KEGG:00460","KEGG","Cyanoamino acid metabolism",3869,60
"query_1",TRUE,0.0485991740689613,55,1090,24,0.0220183486238532,0.436363636363636,"KEGG:01212","KEGG","Fatty acid metabolism",3869,189
