"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0567000",1267.00410565966,-3.74540931290757,0.157149741891428,-23.8333787114662,1.50611730124805e-125,4.4425081396456e-123
"Os08g0452900",457.298079151076,-4.67942005876927,0.19654475233892,-23.8084202355101,2.73221451231811e-125,7.96424458490656e-123
"Os05g0161500",5154.42646834507,-8.25336985449974,0.347120118759824,-23.776696908226,5.8195342915625e-125,1.67663489700051e-122
"Os10g0406900",440.64705960889,-6.4103027295765,0.270359439935574,-23.7102974140798,2.82350225581831e-124,8.04113970027704e-122
"Os01g0281000",5861.00210493429,-2.9113114630159,0.122935244209528,-23.6816665695472,5.57124204368565e-124,1.5686211831409e-121
"Os10g0206500",634.634425059913,-4.63283694814158,0.19587175632834,-23.6523990747066,1.11509538048373e-123,3.10435036429724e-121
"Os04g0662700",1768.3240288616,-3.91894636750521,0.165895626811771,-23.6229636839779,2.23885637300586e-123,6.16357159488514e-121
"Os01g0700100",550.746386691957,-7.16187999411717,0.30377299266785,-23.5764211005686,6.72828976110821e-123,1.83194324627448e-120
"Os03g0684400",5069.14433890599,-3.61854642526713,0.154136940023048,-23.4761791996523,7.14421213096892e-122,1.92404504314149e-119
"Os05g0317900",1352.71820119373,-9.40365988610858,0.40078298967786,-23.4632210655123,9.68885440421853e-122,2.58129833949809e-119
"Os11g0284300",455.545008028715,-6.21462462795953,0.264970277422457,-23.4540443117369,1.20208190848528e-121,3.16850887729146e-119
"Os10g0476000",660.79092685302,4.08744344738876,0.174340876262795,23.4451239147582,1.48232768565395e-121,3.86606663867872e-119
"Os03g0268600",623.101410332102,4.60391236224321,0.197200031121385,23.3464078887965,1.49895721890759e-120,3.86871489717431e-118
"Os02g0693500",2207.9163136475,-3.34689482997125,0.143430839039358,-23.3345551932025,1.97767768774845e-120,5.05164124426221e-118
"Os12g0190000",17967.7833544611,-3.79837305766279,0.163388622976767,-23.2474757939719,1.50867369234767e-119,3.81432735462227e-117
"Os05g0161200",1291.03377049555,-2.54784437262072,0.110008148896603,-23.1605058186685,1.13931886888717e-118,2.85140440549671e-116
"Os03g0835100",5257.0835807201,-3.4981051252572,0.151137689015407,-23.1451542500469,1.62665126363291e-118,4.03035383590326e-116
"Os03g0704100",3769.01626495235,-3.10024694059574,0.134429879347814,-23.062186439775,1.11001895199044e-117,2.72306332410567e-115
"Os05g0468800",4413.82485370838,7.07556631200724,0.306947536275148,23.0513865589874,1.42454760381052e-117,3.4603937234915e-115
"Os03g0703300",5596.12628552444,-4.04293839512298,0.175430288271211,-23.0458402306943,1.61919515429789e-117,3.89502896485814e-115
"Os07g0637300",13667.2092455419,-4.00438055592191,0.17467969338865,-22.9241331848028,2.66993510654973e-116,6.36086366682525e-114
"Os09g0345300",453.126849114045,-5.75451456941361,0.251204182173165,-22.9077180150081,3.89205227716348e-116,9.18413135916949e-114
"Os06g0554200",607.181158723229,-6.36922596927555,0.278286124593479,-22.8873285672425,6.21329624675565e-116,1.45232868967797e-113
"Os03g0375200",1010.44983986382,-5.95194665775181,0.260421294890388,-22.8550689768169,1.30125230394068e-115,3.01318956399422e-113
"Os07g0546000",2112.92177094738,-4.23204106985446,0.185266814314234,-22.8429526654268,1.71721038783687e-115,3.93956683142909e-113
"Os03g0431200",1049.23433550759,-3.41468594038299,0.149926615192078,-22.7757155459574,7.98265925718245e-115,1.81455365518541e-112
"Os01g0606900",2304.00254087164,7.18814730082596,0.316148824237998,22.7365934956465,1.94773378372231e-114,4.38718181448069e-112
"Os03g0263900",2429.66751097576,-3.11070919791992,0.136996918873281,-22.7064172209395,3.8714918334341e-114,8.6417975817114e-112
"Os01g0974200",3740.40278336661,-5.18041296949015,0.229209159486322,-22.6012476163689,4.21299576436954e-113,9.3201246476593e-111
"Os03g0226400",684.473690344366,-5.98129748978672,0.265022430510478,-22.5690236040237,8.73535781455088e-113,1.91536248293033e-110
"Os08g0432500",3941.82404906157,-2.78522539433005,0.123466258656481,-22.5585955599363,1.10577956421574e-112,2.40332458443625e-110
"Os02g0755500",839.602495582814,-6.35572560069148,0.2821323465915,-22.5274615884224,2.23397004560783e-112,4.81313702782828e-110
"Os01g0867300",1319.76692655423,4.33919584492624,0.192762475634384,22.510583715248,3.26937902841683e-112,6.98322449888654e-110
"Os03g0744700",8864.75227291576,-3.17894245543419,0.141235481709627,-22.5081007757664,3.45768495768317e-112,7.32231283730906e-110
"Os01g0725800",5509.00231680725,-3.07956227874817,0.136906792417515,-22.4938604167765,4.76668798350773e-112,1.00088328955399e-109
"Os11g0151002",265.855124795993,-4.22952915982008,0.188775992076709,-22.405016195605,3.51665927197233e-111,7.32203922534944e-109
"Os07g0517100",640.108386781969,-3.5679265961691,0.159562245102414,-22.3607194413632,9.49695374361299e-111,1.96088352421249e-108
"Os10g0548100",1273.57847047964,7.99971153583541,0.359407329169756,22.2580645595487,9.42284552150582e-110,1.92950283873016e-107
"Os03g0834050",363.433817434202,-4.87609128487585,0.219490214766595,-22.2155292438028,2.43100894576615e-109,4.93714005321703e-107
"Os03g0782500",9694.233290578,-5.7389657496811,0.25900536304136,-22.1577101041134,8.79086569217234e-109,1.77082340857686e-106
"Os04g0531750",3151.76522071761,-5.53159272536907,0.249759933988809,-22.1476384823874,1.09932270468577e-108,2.19660634306447e-106
"Os04g0444800",31628.1188936055,-5.49236285370979,0.250111851858516,-21.9596265146873,7.00725877019296e-107,1.38895080439257e-104
"Os01g0172100",821.11106537872,-2.89908573102526,0.132032620246796,-21.9573445229389,7.36809474646491e-107,1.44888320264414e-104
"Os11g0105750",10126.4416112274,-2.94604738073232,0.134186088921417,-21.9549388793767,7.76857635990937e-107,1.5156064288935e-104
"Os06g0591600",815.445737864091,-3.91360594776292,0.178371305392557,-21.9407821182331,1.06062124624504e-106,2.05304786079791e-104
